DATE,TIME,NAME,AREA,FEE,DOSE 1,VACCINE
31-05-2021,11:21:09,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:21:25,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:21:41,Kavery Hospital-Covaxin,Teynampet,Paid,2,COVAXIN
31-05-2021,11:21:57,Kavery Hospital-Covaxin,Teynampet,Paid,2,COVAXIN
31-05-2021,11:22:13,Kavery Hospital-Covaxin,Teynampet,Paid,2,COVAXIN
31-05-2021,11:24:32,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,160,COVAXIN
31-05-2021,11:24:32,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:32,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:32,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:32,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:49,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,160,COVAXIN
31-05-2021,11:24:49,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:49,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:49,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:24:49,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:06,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,160,COVAXIN
31-05-2021,11:25:06,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:06,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:06,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:06,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:24,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,160,COVAXIN
31-05-2021,11:25:24,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:24,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:24,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:24,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:41,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,65,COVAXIN
31-05-2021,11:25:41,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:25:41,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:25:41,Apollo Mains Greams,Teynampet,Paid,5,COVAXIN
31-05-2021,11:25:41,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:25:41,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:41,Kavery Hospital-Covaxin,Teynampet,Paid,3,COVAXIN
31-05-2021,11:25:59,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,65,COVAXIN
31-05-2021,11:25:59,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:25:59,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:25:59,Apollo Mains Greams,Teynampet,Paid,5,COVAXIN
31-05-2021,11:25:59,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:25:59,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:25:59,Kavery Hospital-Covaxin,Teynampet,Paid,3,COVAXIN
31-05-2021,11:26:17,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,65,COVAXIN
31-05-2021,11:26:17,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:26:17,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:26:17,Apollo Mains Greams,Teynampet,Paid,5,COVAXIN
31-05-2021,11:26:17,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:26:17,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:26:17,Kavery Hospital-Covaxin,Teynampet,Paid,3,COVAXIN
31-05-2021,11:26:35,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:26:35,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:26:51,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:26:51,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:27:08,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:27:08,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:27:24,COVAXIN Apollo Spectra Hospita,Adyar,Paid,1,COVAXIN
31-05-2021,11:27:24,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:27:40,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:27:56,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:28:12,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:28:27,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:28:43,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:28:59,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
11:57:44,adf,123,,,,
31-05-2021,21:43:09,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,21:43:26,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,21:43:41,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,22:06:24,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,22:06:40,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,22:06:56,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,22:07:11,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
31-05-2021,22:07:27,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:07:43,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:07:58,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:08:14,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:11:34,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:11:50,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:12:05,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:12:21,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:15:40,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,22:15:55,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,22:16:11,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,22:25:33,APOLLO CLINIC COVAXIN MADIPAKA,Perungudi,Paid,1,COVAXIN
31-05-2021,22:25:49,APOLLO CLINIC COVAXIN MADIPAKA,Perungudi,Paid,1,COVAXIN
31-05-2021,22:26:04,APOLLO CLINIC COVAXIN MADIPAKA,Perungudi,Paid,1,COVAXIN
31-05-2021,22:26:20,APOLLO CLINIC COVAXIN MADIPAKA,Perungudi,Paid,1,COVAXIN
31-05-2021,22:26:36,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:26:51,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:27:07,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:27:22,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:38:47,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:39:02,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:39:18,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:39:34,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,22:41:51,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:42:06,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:42:22,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,22:42:37,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:01:29,Apollo Mains Greams,Teynampet,Paid,520,COVAXIN
01-06-2021,08:01:45,Apollo Mains Greams,Teynampet,Paid,520,COVAXIN
01-06-2021,08:02:01,Apollo Mains Greams,Teynampet,Paid,520,COVAXIN
01-06-2021,08:02:16,Apollo Mains Greams,Teynampet,Paid,520,COVAXIN
01-06-2021,08:02:32,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:02:32,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:02:32,Apollo Mains Greams,Teynampet,Paid,505,COVAXIN
01-06-2021,08:02:48,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:02:48,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:02:48,Apollo Mains Greams,Teynampet,Paid,505,COVAXIN
01-06-2021,08:03:05,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:03:05,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:03:05,Apollo Mains Greams,Teynampet,Paid,505,COVAXIN
01-06-2021,08:03:21,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:03:21,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:03:21,Apollo Mains Greams,Teynampet,Paid,505,COVAXIN
01-06-2021,08:03:37,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:03:37,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:03:37,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,3,COVAXIN
01-06-2021,08:03:37,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:03:37,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:03:37,Apollo Mains Greams,Teynampet,Paid,450,COVAXIN
01-06-2021,08:03:55,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:03:55,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:03:55,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,3,COVAXIN
01-06-2021,08:03:55,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:03:55,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:03:55,Apollo Mains Greams,Teynampet,Paid,450,COVAXIN
01-06-2021,08:04:12,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:04:12,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:04:12,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,3,COVAXIN
01-06-2021,08:04:12,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:04:12,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:04:12,Apollo Mains Greams,Teynampet,Paid,450,COVAXIN
01-06-2021,08:04:29,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:04:29,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:04:29,Apollo Mains Greams,Teynampet,Paid,417,COVAXIN
01-06-2021,08:04:46,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:04:46,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:04:46,Apollo Mains Greams,Teynampet,Paid,417,COVAXIN
01-06-2021,08:05:02,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:05:02,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:02,Apollo Mains Greams,Teynampet,Paid,417,COVAXIN
01-06-2021,08:05:19,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:05:19,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:19,Apollo Mains Greams,Teynampet,Paid,417,COVAXIN
01-06-2021,08:05:22,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
01-06-2021,08:05:22,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:22,Apollo Mains Greams,Teynampet,Paid,417,COVAXIN
01-06-2021,08:05:35,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:35,Apollo Mains Greams,Teynampet,Paid,372,COVAXIN
01-06-2021,08:05:35,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:51,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:51,Apollo Mains Greams,Teynampet,Paid,372,COVAXIN
01-06-2021,08:05:51,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:57,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:05:57,Apollo Mains Greams,Teynampet,Paid,372,COVAXIN
01-06-2021,08:05:57,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:08,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:08,Apollo Mains Greams,Teynampet,Paid,372,COVAXIN
01-06-2021,08:06:08,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:25,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:06:25,Apollo Mains Greams,Teynampet,Paid,336,COVAXIN
01-06-2021,08:06:25,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:41,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:06:41,Apollo Mains Greams,Teynampet,Paid,336,COVAXIN
01-06-2021,08:06:41,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:51,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:06:51,Apollo Mains Greams,Teynampet,Paid,336,COVAXIN
01-06-2021,08:06:51,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:06:57,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:06:57,Apollo Mains Greams,Teynampet,Paid,336,COVAXIN
01-06-2021,08:06:57,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
01-06-2021,08:08:16,Apollo Mains Greams,Teynampet,Paid,300,COVAXIN
01-06-2021,08:08:44,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:08:44,Apollo Mains Greams,Teynampet,Paid,268,COVAXIN
01-06-2021,08:09:01,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:09:01,Apollo Mains Greams,Teynampet,Paid,268,COVAXIN
01-06-2021,08:09:17,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:09:17,Apollo Mains Greams,Teynampet,Paid,268,COVAXIN
01-06-2021,08:09:33,Apollo Mains Greams,Teynampet,Paid,242,COVAXIN
01-06-2021,08:09:48,Apollo Mains Greams,Teynampet,Paid,242,COVAXIN
01-06-2021,08:10:04,Apollo Mains Greams,Teynampet,Paid,242,COVAXIN
01-06-2021,08:10:20,Apollo Mains Greams,Teynampet,Paid,242,COVAXIN
01-06-2021,08:10:36,Apollo Mains Greams,Teynampet,Paid,215,COVAXIN
01-06-2021,08:10:51,Apollo Mains Greams,Teynampet,Paid,215,COVAXIN
01-06-2021,08:11:07,Apollo Mains Greams,Teynampet,Paid,215,COVAXIN
01-06-2021,08:11:23,Apollo Mains Greams,Teynampet,Paid,215,COVAXIN
01-06-2021,08:11:38,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:11:38,Apollo Mains Greams,Teynampet,Paid,187,COVAXIN
01-06-2021,08:11:54,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:11:54,Apollo Mains Greams,Teynampet,Paid,187,COVAXIN
01-06-2021,08:12:10,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
01-06-2021,08:12:10,Apollo Mains Greams,Teynampet,Paid,187,COVAXIN
01-06-2021,08:12:26,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:12:26,Apollo Mains Greams,Teynampet,Paid,166,COVAXIN
01-06-2021,08:12:42,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:12:42,Apollo Mains Greams,Teynampet,Paid,166,COVAXIN
01-06-2021,08:12:58,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:12:58,Apollo Mains Greams,Teynampet,Paid,166,COVAXIN
01-06-2021,08:13:14,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
01-06-2021,08:13:14,Apollo Mains Greams,Teynampet,Paid,166,COVAXIN
01-06-2021,08:13:30,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:13:30,Apollo Mains Greams,Teynampet,Paid,147,COVAXIN
01-06-2021,08:13:46,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:13:46,Apollo Mains Greams,Teynampet,Paid,147,COVAXIN
01-06-2021,08:14:02,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:14:02,Apollo Mains Greams,Teynampet,Paid,147,COVAXIN
01-06-2021,08:14:18,B M Hospitals,Alandur,Paid,1,COVAXIN
01-06-2021,08:14:18,Apollo Mains Greams,Teynampet,Paid,147,COVAXIN
01-06-2021,08:14:34,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:14:34,Apollo Mains Greams,Teynampet,Paid,2,COVAXIN
01-06-2021,08:14:34,Apollo Mains Greams,Teynampet,Paid,123,COVAXIN
01-06-2021,08:14:51,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:14:51,Apollo Mains Greams,Teynampet,Paid,2,COVAXIN
01-06-2021,08:14:51,Apollo Mains Greams,Teynampet,Paid,123,COVAXIN
01-06-2021,08:15:07,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:15:07,Apollo Mains Greams,Teynampet,Paid,2,COVAXIN
01-06-2021,08:15:07,Apollo Mains Greams,Teynampet,Paid,123,COVAXIN
01-06-2021,08:15:23,APOLLO MEDICAL CENTRE COVAXIN,Anna Nagar,Paid,1,COVAXIN
01-06-2021,08:15:23,Apollo Mains Greams,Teynampet,Paid,2,COVAXIN
01-06-2021,08:15:23,Apollo Mains Greams,Teynampet,Paid,123,COVAXIN
01-06-2021,08:15:40,Apollo Mains Greams,Teynampet,Paid,111,COVAXIN
01-06-2021,08:15:55,Apollo Mains Greams,Teynampet,Paid,111,COVAXIN
01-06-2021,08:16:11,Apollo Mains Greams,Teynampet,Paid,111,COVAXIN
